"Year Month","State","Industry","Suspicious Activity","Instrument","Count"
"2012 ","California","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Money Orders","1"
"2012 ","California","Insurance Company","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","[Total]","1"
"2012 ","California","Insurance Company","Check","Personal/Business Check","1"
"2012 ","California","Insurance Company","Check","[Total]","1"
"2012 ","California","Insurance Company","Counterfeit Instrument","Personal/Business Check","1"
"2012 ","California","Insurance Company","Counterfeit Instrument","[Total]","1"
"2012 ","California","Insurance Company","Elder Financial Exploitation","Bank/Cashier's Check","2"
"2012 ","California","Insurance Company","Elder Financial Exploitation","Personal/Business Check","1"
"2012 ","California","Insurance Company","Elder Financial Exploitation","[Total]","3"
"2012 ","California","Insurance Company","Healthcare/Public or Private Health Insurance","Personal/Business Check","1"
"2012 ","California","Insurance Company","Healthcare/Public or Private Health Insurance","[Total]","1"
"2012 ","California","Insurance Company","Identity Theft","Bank/Cashier's Check","1"
"2012 ","California","Insurance Company","Identity Theft","Funds Transfer","1"
"2012 ","California","Insurance Company","Identity Theft","Personal/Business Check","1"
"2012 ","California","Insurance Company","Identity Theft","[Total]","3"
"2012 ","California","Insurance Company","Other Fraud (Type)","Money Orders","1"
"2012 ","California","Insurance Company","Other Fraud (Type)","Personal/Business Check","1"
"2012 ","California","Insurance Company","Other Fraud (Type)","[Total]","2"
"2012 ","California","Insurance Company","Other Identification Documentation","Money Orders","1"
"2012 ","California","Insurance Company","Other Identification Documentation","[Total]","1"
"2012 ","California","Insurance Company","Other Insurance","Money Orders","2"
"2012 ","California","Insurance Company","Other Insurance","Personal/Business Check","1"
"2012 ","California","Insurance Company","Other Insurance","[Total]","3"
"2012 ","California","Insurance Company","Other Structuring","Money Orders","2"
"2012 ","California","Insurance Company","Other Structuring","[Total]","2"
"2012 ","California","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Bank/Cashier's Check","2"
"2012 ","California","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","Personal/Business Check","1"
"2012 ","California","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","[Total]","3"
"2012 ","California","Insurance Company","Suspicion Concerning the Source of Funds","Money Orders","2"
"2012 ","California","Insurance Company","Suspicion Concerning the Source of Funds","[Total]","2"
